"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Apr-2003","      977.40","      992.05","      973.50","      984.30","       50070441","         1472.45"
"02-Apr-2003","      984.45","     1002.10","      984.45","      999.40","       49613799","         1442.03"
"03-Apr-2003","      999.55","     1010.75","      999.55","     1009.15","       48980845","         1564.51"
"04-Apr-2003","     1009.15","     1018.25","     1002.75","     1016.95","       55418219","         1684.67"
"07-Apr-2003","     1017.05","     1033.45","     1017.05","     1031.50","       53490204","         1547.45"
"08-Apr-2003","     1032.00","     1032.00","     1016.60","     1018.10","       49369923","         1392.51"
"09-Apr-2003","     1018.00","     1018.00","     1002.30","     1004.85","       45373972","         1287.27"
"10-Apr-2003","     1003.80","     1003.80","      958.20","      962.20","       73197133","         2687.78"
"11-Apr-2003","      958.90","      965.15","      935.70","      949.80","       83519810","         2785.81"
"15-Apr-2003","      951.80","      964.20","      938.80","      951.20","       59848779","         1891.56"
"16-Apr-2003","      950.65","      961.75","      949.00","      958.65","       52698724","         1674.66"
"17-Apr-2003","      958.65","      958.65","      936.70","      940.70","       47281254","         1484.81"
"21-Apr-2003","      941.50","      949.70","      941.50","      947.20","       51700926","         1229.23"
"22-Apr-2003","      947.10","      951.40","      937.85","      943.50","       65115537","         1439.99"
"23-Apr-2003","      943.75","      951.20","      931.50","      934.20","       66282840","         1528.85"
"24-Apr-2003","      934.20","      943.15","      927.80","      929.70","      107328010","         2339.15"
"25-Apr-2003","      929.45","      931.35","      921.10","      924.30","       65197821","         1481.77"
"28-Apr-2003","      922.85","      931.05","      920.00","      929.50","       62369319","         1283.72"
"29-Apr-2003","      929.75","      936.90","      929.75","      932.30","       57870020","         1321.44"
"30-Apr-2003","      935.25","      935.55","      929.85","      934.05","       63802968","         1301.64"
"02-May-2003","      930.90","      940.20","      930.80","      938.30","       62768613","         1338.68"
"05-May-2003","      937.45","      948.95","      936.65","      945.40","       65759521","         1365.44"
"06-May-2003","      945.85","      955.00","      943.20","      951.85","       71311687","         1853.59"
"07-May-2003","      950.40","      956.65","      948.90","      950.15","       69371421","         1789.93"
"08-May-2003","      950.15","      951.30","      938.70","      941.55","       66562642","         1737.66"
"09-May-2003","      941.60","      941.65","      935.80","      937.85","       51202220","         1435.68"
"12-May-2003","      938.50","      944.45","      934.00","      936.00","       45850053","         1408.73"
"13-May-2003","      936.90","      945.80","      936.70","      944.20","       55131529","         1542.92"
"14-May-2003","      944.20","      953.45","      943.15","      952.15","       50634950","         1269.86"
"15-May-2003","      952.15","      961.60","      951.15","      959.85","       49127274","         1167.80"
"16-May-2003","      959.85","      974.40","      959.85","      973.10","       53821532","         1404.54"
"19-May-2003","      973.70","      979.85","      964.60","      966.55","       61264454","         1694.86"
"20-May-2003","      964.65","      974.05","      959.80","      971.55","       60797431","         1575.18"
"21-May-2003","      972.05","      980.75","      965.55","      968.00","       57374488","         1558.52"
"22-May-2003","      967.95","      972.40","      960.05","      963.25","       55564023","         1407.05"
"23-May-2003","      963.50","      972.90","      962.40","      967.90","       64215772","         1724.60"
"26-May-2003","      967.85","      983.90","      967.10","      982.45","       54019157","         1316.20"
"27-May-2003","      982.35","      990.00","      974.25","      976.85","       58429965","         1459.21"
"28-May-2003","      977.65","      992.25","      977.55","      990.80","       64763004","         1578.84"
"29-May-2003","      990.80","     1004.85","      989.50","     1002.60","       91560152","         2085.89"
"30-May-2003","     1000.05","     1013.85","      994.65","     1006.80","       73782145","         1679.90"
"02-Jun-2003","     1006.85","     1020.50","     1004.70","     1015.15","       67864677","         1522.36"
"03-Jun-2003","     1015.90","     1016.90","     1007.65","     1010.65","       56893849","         1382.46"
"04-Jun-2003","     1010.70","     1022.75","     1010.10","     1021.05","       63191749","         1471.78"
"05-Jun-2003","     1021.10","     1038.30","     1021.10","     1035.05","       89524111","         2076.14"
"06-Jun-2003","     1036.20","     1048.85","     1035.95","     1046.40","       74620221","         1827.05"
"09-Jun-2003","     1046.00","     1057.05","     1039.85","     1052.10","       58750135","         1469.09"
"10-Jun-2003","     1052.00","     1056.55","     1033.95","     1037.80","       76478522","         1826.53"
"11-Jun-2003","     1038.00","     1048.25","     1035.00","     1044.10","       61659164","         1560.38"
"12-Jun-2003","     1044.20","     1052.60","     1043.10","     1051.30","       58625881","         1378.88"
"13-Jun-2003","     1050.95","     1059.45","     1050.95","     1056.20","       61693409","         1561.21"
"16-Jun-2003","     1056.50","     1059.80","     1045.55","     1051.80","       56080695","         1403.10"
"17-Jun-2003","     1052.30","     1083.20","     1052.30","     1081.95","       72620597","         2063.66"
"18-Jun-2003","     1082.80","     1093.20","     1080.90","     1086.75","       82701728","         2128.61"
"19-Jun-2003","     1085.95","     1097.00","     1078.90","     1092.55","       75600994","         1886.91"
"20-Jun-2003","     1092.65","     1101.60","     1081.35","     1100.25","       70937531","         1928.95"
"23-Jun-2003","     1100.60","     1106.15","     1087.65","     1089.20","       61149315","         1558.45"
"24-Jun-2003","     1089.20","     1092.65","     1079.10","     1085.35","       61821312","         1712.98"
"25-Jun-2003","     1085.65","     1109.75","     1084.35","     1106.65","       76190759","         2008.62"
"26-Jun-2003","     1106.80","     1118.90","     1106.80","     1116.35","       92146328","         2478.78"
"27-Jun-2003","     1117.45","     1126.80","     1109.35","     1125.55","       87543575","         2224.73"
"30-Jun-2003","     1125.60","     1141.30","     1125.50","     1134.15","       67933704","         1845.65"
"01-Jul-2003","     1133.95","     1139.00","     1125.75","     1130.70","       64850149","         1679.66"
"02-Jul-2003","     1131.55","     1145.40","     1130.20","     1133.80","       73749783","         1854.80"
"03-Jul-2003","     1133.80","     1150.75","     1126.35","     1144.65","       87418530","         2622.77"
"04-Jul-2003","     1145.60","     1148.85","     1134.00","     1138.45","       57673799","         1564.60"
"07-Jul-2003","     1138.90","     1145.75","     1134.60","     1140.55","       57428401","         1491.60"
"08-Jul-2003","     1141.45","     1153.15","     1141.30","     1145.90","       68365550","         1852.24"
"09-Jul-2003","     1146.35","     1155.30","     1137.15","     1141.05","       53365632","         1408.49"
"10-Jul-2003","     1146.00","     1163.60","     1146.00","     1162.35","       74515376","         2471.90"
"11-Jul-2003","     1162.30","     1170.75","     1157.45","     1161.65","       73790385","         2146.28"
"14-Jul-2003","     1161.20","     1173.95","     1161.20","     1171.50","       69731056","         1892.58"
"15-Jul-2003","     1171.50","     1175.55","     1148.80","     1159.85","       77635571","         2023.93"
"16-Jul-2003","     1158.70","     1170.45","     1148.60","     1168.75","       67838029","         1799.89"
"17-Jul-2003","     1168.85","     1175.95","     1145.65","     1152.00","       80352181","         2189.73"
"18-Jul-2003","     1151.85","     1162.60","     1130.45","     1140.00","       77573758","         2043.30"
"21-Jul-2003","     1140.00","     1146.40","     1112.55","     1115.80","       72114632","         1971.87"
"22-Jul-2003","     1115.35","     1118.25","     1089.30","     1109.20","       80609731","         2156.06"
"23-Jul-2003","     1109.60","     1124.70","     1109.60","     1119.05","       93262817","         2269.87"
"24-Jul-2003","     1119.95","     1144.35","     1118.55","     1139.45","       92464124","         2401.35"
"25-Jul-2003","     1135.50","     1164.70","     1135.05","     1162.75","       85402139","         2314.50"
"28-Jul-2003","     1163.25","     1180.60","     1163.25","     1169.20","       82800855","         2171.55"
"29-Jul-2003","     1169.25","     1177.25","     1154.80","     1174.75","       76214167","         2048.25"
"30-Jul-2003","     1175.30","     1187.70","     1168.45","     1183.00","       82323601","         2163.43"
"31-Jul-2003","     1183.30","     1198.50","     1181.90","     1185.85","      117341864","         3179.42"
"01-Aug-2003","     1185.80","     1198.80","     1180.30","     1195.75","       86333839","         2451.81"
"04-Aug-2003","     1196.05","     1206.10","     1185.95","     1203.60","      101511770","         2211.21"
"05-Aug-2003","     1203.90","     1218.50","     1181.00","     1184.45","      108251167","         2541.30"
"06-Aug-2003","     1184.10","     1191.05","     1164.75","     1171.05","      112282482","         2751.61"
"07-Aug-2003","     1170.75","     1199.70","     1170.75","     1196.95","      112321440","         2490.18"
"08-Aug-2003","     1199.70","     1224.50","     1199.70","     1222.65","      130088954","         2666.67"
"11-Aug-2003","     1222.60","     1240.35","     1215.75","     1232.85","      154664395","         2475.54"
"12-Aug-2003","     1233.95","     1249.35","     1229.80","     1234.75","      146062165","         2521.63"
"13-Aug-2003","     1235.35","     1249.35","     1229.30","     1246.90","      127521351","         2383.97"
"14-Aug-2003","     1247.00","     1260.35","     1243.40","     1247.75","      150830207","         2339.20"
"18-Aug-2003","     1247.90","     1285.70","     1247.90","     1281.40","      214890048","         2719.40"
"19-Aug-2003","     1286.05","     1307.60","     1268.10","     1277.70","      233905141","         2763.35"
