"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"31-Mar-2008","-","-","-","     5817.72","        9807982","          232.61"
"01-Apr-2008","-","-","-","     5933.72","        5839387","          132.61"
"02-Apr-2008","-","-","-","     5885.47","        6831913","          182.18"
"03-Apr-2008","-","-","-","     5961.57","        6356638","          166.91"
"04-Apr-2008","-","-","-","     5863.92","        8775165","          198.02"
"07-Apr-2008","-","-","-","     6105.82","       13400000","          323.77"
"08-Apr-2008","-","-","-","     6082.05","       11000000","          278.14"
"09-Apr-2008","-","-","-","     6040.41","        4827971","          130.94"
"10-Apr-2008","-","-","-","     5999.73","        6940081","          156.15"
"11-Apr-2008","-","-","-","     5935.08","        6539622","          162.21"
"15-Apr-2008","-","-","-","     6069.54","        8259989","          193.97"
"16-Apr-2008","-","-","-","     6092.39","        6136020","          159.76"
"17-Apr-2008","-","-","-","     6054.62","        5902860","          164.21"
"21-Apr-2008","-","-","-","     6047.61","        6175517","          152.43"
"22-Apr-2008","-","-","-","     6087.27","        5894666","          151.25"
"23-Apr-2008","-","-","-","     6064.83","        7129269","          170.82"
"24-Apr-2008","-","-","-","     6112.80","       14100000","          403.95"
"25-Apr-2008","-","-","-","     6161.35","        5885796","          165.15"
"28-Apr-2008","-","-","-","     6136.94","        5249490","          137.77"
"29-Apr-2008","-","-","-","     6159.24","        8776383","          210.48"
"30-Apr-2008","-","-","-","     6228.03","       12400000","          325.75"
"02-May-2008","-","-","-","     6268.46","        7428574","          229.41"
"05-May-2008","-","-","-","     6266.17","        6368045","          195.08"
"06-May-2008","-","-","-","     6310.67","       12900000","          309.61"
"07-May-2008","-","-","-","     6346.89","        9626140","          234.82"
"08-May-2008","-","-","-","     6194.90","        8741644","          234.66"
"09-May-2008","-","-","-","     6201.99","        8073514","          229.12"
"12-May-2008","-","-","-","     6218.77","        7135113","          201.11"
"13-May-2008","-","-","-","     6244.59","        8677230","          253.11"
"14-May-2008","-","-","-","     6224.54","        9591703","          183.50"
"15-May-2008","-","-","-","     6196.13","        6911965","          163.54"
"16-May-2008","-","-","-","     6273.96","        5830705","          191.73"
"20-May-2008","-","-","-","     6240.26","        6381395","          172.09"
"21-May-2008","-","-","-","     6242.67","       12400000","          321.63"
"22-May-2008","-","-","-","     6149.40","        9075407","          231.91"
"23-May-2008","-","-","-","     6038.73","        7689703","          226.19"
