"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"28-Mar-2019","    12308.15","    12489.90","    12293.15","    12474.35","      191039936","        10601.87"
"29-Mar-2019","    12510.35","    12552.75","    12418.45","    12544.15","      154720747","         8090.59"
"01-Apr-2019","    12575.10","    12603.30","    12453.80","    12499.65","      108248175","         6340.75"
"02-Apr-2019","    12547.20","    12575.70","    12456.50","    12538.60","       99407784","         5662.44"
"03-Apr-2019","    12569.60","    12652.00","    12486.90","    12506.80","      109855856","         6912.72"
"04-Apr-2019","    12528.55","    12614.90","    12458.00","    12499.70","      103267445","         6661.10"
"05-Apr-2019","    12532.00","    12628.80","    12513.10","    12594.95","       82777394","         5245.90"
"08-Apr-2019","    12635.35","    12642.90","    12439.05","    12504.05","       78814959","         5352.94"
"09-Apr-2019","    12522.95","    12587.55","    12418.20","    12568.10","       87384311","         5681.34"
"10-Apr-2019","    12496.95","    12569.60","    12410.10","    12426.65","      109709169","        11030.33"
"11-Apr-2019","    12442.25","    12467.10","    12399.85","    12450.00","       65362038","         4409.96"
"12-Apr-2019","    12450.40","    12519.45","    12419.60","    12495.60","       61852137","         3888.75"
"15-Apr-2019","    12526.45","    12556.15","    12492.90","    12535.30","       51969539","         3313.86"
"16-Apr-2019","    12584.05","    12688.70","    12580.25","    12663.30","       76109740","         4656.17"
"18-Apr-2019","    12723.85","    12726.55","    12542.20","    12567.30","       79902472","         5040.76"
"22-Apr-2019","    12591.80","    12598.45","    12339.05","    12347.05","       68209737","         4843.63"
"23-Apr-2019","    12376.75","    12425.55","    12286.30","    12295.45","       73813616","         5115.46"
"24-Apr-2019","    12321.90","    12485.40","    12292.45","    12466.85","       72306352","         4697.18"
"25-Apr-2019","    12491.80","    12536.80","    12322.15","    12344.70","      128257499","         7322.21"
"26-Apr-2019","    12408.25","    12519.60","    12328.05","    12506.10","       88778011","         5538.16"
"30-Apr-2019","    12513.55","    12572.15","    12446.30","    12555.45","      103279751","         6818.34"
"02-May-2019","    12542.20","    12637.05","    12517.80","    12583.80","       85516851","         5550.35"
"03-May-2019","    12604.95","    12712.40","    12602.85","    12637.00","       90943687","         5402.62"
"06-May-2019","    12499.55","    12539.55","    12444.55","    12477.40","       73673365","         4604.02"
"07-May-2019","    12525.85","    12568.75","    12345.35","    12363.65","       94847263","         5443.28"
"08-May-2019","    12345.20","    12345.20","    12201.15","    12216.15","       88831618","         5395.66"
"09-May-2019","    12176.55","    12242.20","    12121.45","    12174.25","       74184514","         4888.42"
"10-May-2019","    12185.55","    12324.90","    12181.50","    12248.00","      119010670","         6106.46"
"13-May-2019","    12242.80","    12307.10","    12155.45","    12179.95","       93770316","         5427.29"
"14-May-2019","    12204.15","    12335.60","    12125.80","    12225.90","      112527749","         6514.99"
"15-May-2019","    12282.40","    12315.50","    12186.70","    12209.30","       90436201","         5631.15"
"16-May-2019","    12223.45","    12362.25","    12174.50","    12325.55","       69152599","         4972.85"
"17-May-2019","    12334.10","    12676.45","    12324.65","    12640.80","       96027678","         7985.11"
"20-May-2019","    12953.20","    13263.10","    12919.15","    13222.45","      170100355","        11326.40"
"21-May-2019","    13271.55","    13348.45","    13056.15","    13084.75","      116966596","         8285.30"
"22-May-2019","    13132.30","    13224.70","    13079.15","    13156.00","       95221109","         6280.17"
"23-May-2019","    13332.60","    13581.70","    12980.70","    13028.35","      197035341","        13092.45"
"24-May-2019","    13128.25","    13330.25","    13062.85","    13304.35","      126330650","         7765.80"
"27-May-2019","    13323.10","    13520.75","    13293.95","    13498.20","      102214070","         6415.35"
"28-May-2019","    13523.15","    13523.15","    13336.15","    13447.20","      117835267","         9177.64"
"29-May-2019","    13404.90","    13448.15","    13334.55","    13361.55","      110584780","         5521.07"
"30-May-2019","    13349.85","    13528.50","    13335.05","    13515.95","      104359687","         5964.47"
"31-May-2019","    13567.30","    13623.60","    13200.60","    13479.80","      133130805","         9062.76"
"03-Jun-2019","    13514.70","    13650.15","    13486.60","    13636.10","       89200752","         5660.31"
"04-Jun-2019","    13586.30","    13664.75","    13575.65","    13610.20","       81315083","         4811.74"
"06-Jun-2019","    13598.50","    13610.10","    13324.95","    13345.70","      139515390","         8266.05"
"07-Jun-2019","    13383.15","    13496.65","    13269.80","    13466.85","      104694071","         6114.30"
"10-Jun-2019","    13540.50","    13571.35","    13381.80","    13447.80","       78752783","         4796.89"
"11-Jun-2019","    13492.30","    13538.20","    13387.75","    13488.70","       95545455","         6178.01"
"12-Jun-2019","    13471.15","    13471.20","    13327.40","    13362.55","       92255750","         5938.94"
"13-Jun-2019","    13358.65","    13503.95","    13312.10","    13482.05","      115336939","         7688.64"
"14-Jun-2019","    13493.35","    13518.70","    13329.25","    13369.10","       83985579","         5960.52"
"17-Jun-2019","    13381.80","    13381.85","    13202.00","    13215.55","      102249302","         8108.58"
"18-Jun-2019","    13228.40","    13295.85","    13166.15","    13229.85","       98021418","         6587.51"
"19-Jun-2019","    13297.50","    13385.40","    13202.60","    13274.60","      140097396","         8507.54"
"20-Jun-2019","    13280.05","    13449.50","    13224.20","    13437.95","      112499519","         7084.77"
"21-Jun-2019","    13442.95","    13444.90","    13295.40","    13323.30","      125390101","         8775.45"
"24-Jun-2019","    13316.85","    13377.95","    13264.35","    13308.80","       73331723","         4631.70"
"25-Jun-2019","    13298.15","    13441.45","    13250.05","    13419.65","      103339536","         7102.07"
"26-Jun-2019","    13393.55","    13558.10","    13377.25","    13531.75","-","-"
"27-Jun-2019","    13541.65","    13660.80","    13533.15","    13595.25","      130484981","         8509.06"
"28-Jun-2019","    13599.00","    13639.00","    13528.00","    13556.40","      153859420","         6942.47"
"01-Jul-2019","    13616.30","    13717.45","    13604.25","    13695.70","       63076592","         4194.75"
"02-Jul-2019","    13720.35","    13752.00","    13615.95","    13742.75","       70634752","         4702.71"
"03-Jul-2019","    13758.20","    13800.20","    13702.30","    13764.10","       85155185","         5538.89"
"04-Jul-2019","    13792.15","    13840.00","    13769.05","    13804.00","       93674784","         6257.64"
"05-Jul-2019","    13821.70","    13881.35","    13750.90","    13798.60","      106994260","         6549.78"
"08-Jul-2019","    13764.35","    13768.80","    13347.40","    13398.45","       98479926","         7696.36"
"09-Jul-2019","    13357.05","    13419.75","    13220.40","    13368.80","      134627947","         8652.17"
"10-Jul-2019","    13375.80","    13436.10","    13293.95","    13314.35","       98921653","         6078.23"
"11-Jul-2019","    13388.80","    13434.50","    13316.15","    13404.95","      110022201","         6066.20"
"12-Jul-2019","    13443.40","    13473.05","    13345.25","    13365.95","      208781250","         7145.40"
"15-Jul-2019","    13386.85","    13386.85","    13285.50","    13362.95","       66514270","         4419.72"
"16-Jul-2019","    13398.25","    13451.25","    13355.30","    13422.95","       77948809","         5264.30"
"17-Jul-2019","    13425.10","    13515.50","    13418.85","    13485.30","       80970069","         5258.24"
"18-Jul-2019","    13492.95","    13568.65","    13479.20","    13500.20","       92300296","         6004.77"
"19-Jul-2019","    13513.20","    13533.80","    13202.60","    13234.40","       96538054","         6401.68"
"22-Jul-2019","    13158.75","    13174.75","    12851.80","    12897.00","       96712121","         7293.57"
"23-Jul-2019","    12909.45","    12916.40","    12771.10","    12804.00","      115721238","         8637.70"
"24-Jul-2019","    12790.90","    12890.55","    12727.50","    12785.65","      120582670","         7533.29"
"25-Jul-2019","    12808.55","    12929.95","    12759.20","    12805.20","      131649603","        11003.97"
"26-Jul-2019","    12802.65","    12912.25","    12762.50","    12880.05","       91241311","         7654.14"
"29-Jul-2019","    12950.65","    12957.30","    12736.70","    12827.25","      137648996","         8204.76"
"30-Jul-2019","    12872.50","    12916.05","    12673.30","    12714.10","      133302263","         7867.25"
"31-Jul-2019","    12629.15","    12746.45","    12583.95","    12707.30","      161911539","        10343.73"
"01-Aug-2019","    12637.50","    12673.40","    12376.40","    12494.10","      132473048","         7770.26"
"02-Aug-2019","    12420.55","    12631.30","    12293.25","    12500.50","      184071807","        10765.20"
"05-Aug-2019","    12361.70","    12367.10","    12219.40","    12329.55","-","-"
"06-Aug-2019","    12275.80","    12592.70","    12269.70","    12521.35","      139643497","         8678.32"
"07-Aug-2019","    12529.85","    12567.60","    12386.20","    12411.65","      141145162","         8142.18"
"08-Aug-2019","    12479.95","    12614.75","    12359.15","    12581.20","      146482229","         8139.41"
"09-Aug-2019","    12649.00","    12852.95","    12631.90","    12774.85","      134169882","         8802.71"
"13-Aug-2019","    12729.25","    12737.40","    12373.75","    12394.00","      122491910","         7456.53"
"14-Aug-2019","    12478.65","    12569.10","    12411.15","    12509.60","      139855982","         8741.40"
"16-Aug-2019","    12521.20","    12579.70","    12389.35","    12543.70","      128339159","         8389.66"
"19-Aug-2019","    12605.45","    12663.65","    12518.15","    12532.40","      104854663","         6101.42"
"20-Aug-2019","    12522.35","    12548.15","    12391.20","    12450.40","      110587834","         6461.77"
"21-Aug-2019","    12466.40","    12509.35","    12339.45","    12356.45","      111378065","         5870.75"
"22-Aug-2019","    12341.90","    12343.25","    12020.60","    12049.90","      122275804","         7010.24"
"23-Aug-2019","    11962.75","    12160.15","    11831.15","    12080.30","      148122964","         8479.91"
"26-Aug-2019","    12369.60","    12584.65","    12118.25","    12563.65","      181022962","        10012.28"
"27-Aug-2019","    12623.95","    12692.00","    12560.65","    12646.35","      246732955","        14696.37"
"28-Aug-2019","    12633.35","    12640.65","    12504.10","    12575.25","       99504940","         5934.24"
"29-Aug-2019","    12523.35","    12523.75","    12311.25","    12341.10","      148469167","         7911.49"
"30-Aug-2019","    12383.10","    12448.80","    12300.00","    12418.15","      151986195","         9007.73"
"03-Sep-2019","    12323.80","    12332.70","    12100.95","    12134.95","      101298871","         6022.82"
"04-Sep-2019","    12125.70","    12326.15","    12064.45","    12260.35","      110990750","         6470.90"
"05-Sep-2019","    12249.55","    12272.75","    12098.00","    12122.75","      111554693","         6408.86"
"06-Sep-2019","    12153.45","    12268.60","    12129.40","    12235.90","      138705509","         7018.32"
"09-Sep-2019","    12243.15","    12379.70","    12148.10","    12341.90","       91344200","         5406.56"
"11-Sep-2019","    12389.40","    12414.60","    12332.90","    12382.10","      124277346","         8097.30"
"12-Sep-2019","    12425.85","    12534.40","    12401.05","    12422.25","      109510417","         6287.85"
"13-Sep-2019","    12405.60","    12523.00","    12340.70","    12513.00","      113582044","         6193.53"
"16-Sep-2019","    12436.80","    12478.35","    12379.50","    12397.70","       89568666","         5245.09"
"17-Sep-2019","    12361.35","    12376.60","    12073.45","    12111.05","      121337139","         6585.49"
"18-Sep-2019","    12190.95","    12231.80","    12086.10","    12116.20","      105418346","         5898.95"
"19-Sep-2019","    12120.25","    12120.25","    11943.10","    12001.25","      121849503","         5923.91"
"20-Sep-2019","    12061.15","    12998.95","    11989.70","    12859.85","      353921795","        21487.09"
"23-Sep-2019","    13278.05","    13657.00","    13180.85","    13560.25","      251146182","        16484.66"
"24-Sep-2019","    13515.90","    13616.60","    13287.30","    13398.35","      144447806","         9096.43"
"25-Sep-2019","    13352.40","    13360.85","    13082.65","    13141.30","      167738805","         9775.28"
"26-Sep-2019","    13164.05","    13527.25","    13159.85","    13288.25","      234562466","        13186.90"
"27-Sep-2019","    13286.40","    13382.00","    13220.20","    13282.65","      136732085","         8070.05"
"30-Sep-2019","    13206.10","    13232.35","    12962.50","    13017.30","      237536366","        11843.63"
"01-Oct-2019","    13068.60","    13184.35","    12771.15","    12995.50","      305499793","        14262.20"
"03-Oct-2019","    12943.15","    12985.95","    12786.70","    12847.75","      195338234","         8639.31"
"04-Oct-2019","    12945.70","    12972.25","    12565.90","    12593.25","      174627181","         9120.65"
"07-Oct-2019","    12648.50","    12773.05","    12535.00","    12589.15","      159515192","         7941.91"
"09-Oct-2019","    12652.00","    12992.40","    12589.95","    12970.45","      181015895","         8408.76"
"10-Oct-2019","    12884.20","    12890.45","    12672.45","    12721.80","      185303965","         6963.59"
"11-Oct-2019","    12814.60","    12956.85","    12643.05","    12769.35","      207567706","         7998.15"
"14-Oct-2019","    12842.15","    12944.75","    12738.35","    12791.20","      146469252","         6274.05"
"15-Oct-2019","    12821.55","    12963.75","    12806.10","    12904.60","      124549785","         5415.83"
"16-Oct-2019","    12961.05","    13018.75","    12883.45","    12978.40","      191178429","        10950.38"
"17-Oct-2019","    13012.50","    13169.80","    12977.85","    13144.75","      195222607","         8488.75"
"18-Oct-2019","    13143.10","    13233.50","    13100.40","    13213.45","      176448098","         7479.59"
"22-Oct-2019","    13350.30","    13477.45","    13287.70","    13344.45","      209368770","        11329.79"
"23-Oct-2019","    13399.05","    13465.45","    13296.30","    13398.65","      181954751","         8779.18"
"24-Oct-2019","    13461.55","    13506.40","    13287.90","    13334.30","      179071356","         7942.68"
"25-Oct-2019","    13382.10","    13401.65","    13186.75","    13346.80","-","-"
"27-Oct-2019","    13429.95","    13447.40","    13369.25","    13395.40","       29718812","         1319.86"
"29-Oct-2019","    13389.95","    13555.25","    13351.35","    13516.35","      195962216","         8860.81"
"30-Oct-2019","    13581.50","    13619.40","    13500.55","    13539.80","      210830486","         9927.32"
"31-Oct-2019","    13617.05","    13650.50","    13489.00","    13516.45","      248434808","        10316.69"
"01-Nov-2019","    13562.75","    13628.60","    13512.30","    13585.30","      165498633","         7988.53"
"04-Nov-2019","    13649.45","    13705.90","    13570.05","    13671.10","      146908238","         8152.09"
"05-Nov-2019","    13730.30","    13748.35","    13613.65","    13669.40","      162781045","         8977.20"
"06-Nov-2019","    13684.25","    13860.70","    13571.35","    13828.45","      155266407","         8041.25"
"07-Nov-2019","    13908.60","    13936.40","    13828.00","    13894.90","      200536511","         9365.35"
"08-Nov-2019","    13880.40","    14008.80","    13825.60","    13868.65","      205112402","        10266.40"
"11-Nov-2019","    13838.75","    13998.60","    13822.50","    13969.10","      147271723","         6940.02"
"13-Nov-2019","    13955.45","    13996.20","    13785.30","    13806.40","      159374857","         7769.22"
"14-Nov-2019","    13852.05","    13965.65","    13751.25","    13947.35","      172744268","         8129.54"
"15-Nov-2019","    13995.45","    14094.55","    13969.25","    14021.00","      219037793","         9975.54"
"18-Nov-2019","    14025.35","    14075.65","    13955.45","    14002.70","      156814847","         6925.95"
"19-Nov-2019","    14007.15","    14052.95","    13956.65","    14008.90","      208687555","        13044.90"
"20-Nov-2019","    14030.85","    14058.35","    13965.35","    13982.20","      121116089","         6214.52"
"21-Nov-2019","    13995.45","    14052.95","    13928.55","    14019.20","      152246824","         7025.36"
"22-Nov-2019","    14024.90","    14026.35","    13919.80","    13952.10","      141181558","         6432.73"
"25-Nov-2019","    13946.55","    14169.40","    13940.70","    14155.75","      154320506","         7891.34"
"26-Nov-2019","    14212.90","    14252.90","    14108.00","    14207.45","      558066860","        30737.03"
"27-Nov-2019","    14248.20","    14295.45","    14202.80","    14266.05","      140469121","         7636.44"
"28-Nov-2019","    14303.25","    14330.10","    14239.55","    14287.00","      289838015","        12621.42"
"29-Nov-2019","    14276.10","    14284.70","    14133.70","    14208.85","      254363567","        11370.57"
"02-Dec-2019","    14236.35","    14237.90","    14102.25","    14163.05","      169032970","         8418.14"
"03-Dec-2019","    14181.20","    14184.15","    14070.20","    14140.45","      138183496","         6974.87"
"04-Dec-2019","    14108.20","    14265.50","    14068.10","    14246.55","      138218699","         7670.04"
"05-Dec-2019","    14265.50","    14305.35","    14156.90","    14194.05","      126793659","         7193.56"
"06-Dec-2019","    14227.30","    14258.05","    13984.80","    14041.85","      160331944","         8101.47"
"09-Dec-2019","    14047.00","    14133.70","    13985.80","    14092.40","      154947450","         7222.88"
"10-Dec-2019","    14128.70","    14150.55","    14056.60","    14071.60","      160528569","         7304.75"
"11-Dec-2019","    14088.05","    14193.45","    14053.05","    14166.85","      145886642","         7154.25"
"12-Dec-2019","    14204.45","    14302.85","    14184.55","    14292.90","      137486923","         6853.11"
"13-Dec-2019","    14344.50","    14460.65","    14334.30","    14410.45","      177235540","         8832.09"
"16-Dec-2019","    14455.10","    14466.60","    14386.25","    14417.60","      130823469","         7094.86"
"17-Dec-2019","    14441.00","    14572.20","    14410.45","    14554.50","      115254783","         7740.45"
"18-Dec-2019","    14602.95","    14634.40","    14521.00","    14618.95","      105185557","         7271.50"
"19-Dec-2019","    14626.85","    14633.60","    14552.10","    14571.45","       99363611","         6297.85"
"20-Dec-2019","    14586.35","    14634.80","    14550.60","    14625.80","      171453466","        10166.82"
"23-Dec-2019","    14635.25","    14680.60","    14570.90","    14648.80","      104115717","         5987.35"
"24-Dec-2019","    14643.40","    14661.80","    14584.25","    14603.70","       97691894","         5086.93"
"26-Dec-2019","    14609.45","    14619.60","    14506.45","    14523.70","      112441145","         6040.50"
"27-Dec-2019","    14578.40","    14696.40","    14543.95","    14679.35","      123667611","         6266.52"
"30-Dec-2019","    14719.00","    14737.45","    14599.25","    14650.60","       89573603","         5276.83"
"31-Dec-2019","    14643.35","    14643.35","    14535.60","    14557.40","      119493736","         6009.95"
"01-Jan-2020","    14590.10","    14621.65","    14543.40","    14574.20","       65150366","         3274.21"
"02-Jan-2020","    14578.15","    14707.60","    14572.90","    14697.50","       91010933","         4816.90"
"03-Jan-2020","    14644.60","    14656.75","    14510.85","    14560.70","      105051074","         5820.09"
"06-Jan-2020","    14472.80","    14493.15","    14161.85","    14202.50","      120943293","         7048.64"
"07-Jan-2020","    14346.55","    14467.50","    14226.00","    14314.75","      142841913","         8091.19"
"08-Jan-2020","    14134.85","    14321.40","    14117.15","    14306.65","      120211251","         6751.71"
"09-Jan-2020","    14461.15","    14604.40","    14427.25","    14590.10","      129535970","         7262.23"
"10-Jan-2020","    14642.80","    14693.70","    14544.95","    14609.65","      124949923","         6368.80"
"13-Jan-2020","    14630.90","    14701.60","    14604.00","    14635.05","       87092501","         4870.51"
"14-Jan-2020","    14644.35","    14685.80","    14568.65","    14667.20","       91112826","         5355.23"
"15-Jan-2020","    14637.55","    14655.70","    14528.30","    14636.05","      105945952","         5837.54"
"16-Jan-2020","    14625.05","    14697.90","    14586.75","    14655.35","       84332728","         4929.70"
"17-Jan-2020","    14582.50","    14636.80","    14541.30","    14561.80","      124311288","         6951.66"
"20-Jan-2020","    14686.70","    14686.70","    14346.75","    14359.65","      125785753","         7774.29"
"21-Jan-2020","    14308.25","    14385.70","    14248.30","    14305.70","      116861155","         6701.25"
"22-Jan-2020","    14358.70","    14396.20","    14152.85","    14178.50","      155739831","         7787.38"
"23-Jan-2020","    14196.85","    14314.70","    14145.80","    14288.45","      229307361","         8674.99"
"24-Jan-2020","    14293.40","    14450.70","    14229.45","    14420.40","      124151181","         6657.80"
"27-Jan-2020","    14355.15","    14400.10","    14213.05","    14234.70","      139653597","         7655.91"
"28-Jan-2020","    14278.65","    14394.35","    14227.85","    14273.10","      125482695","         7590.13"
"29-Jan-2020","    14340.85","    14409.80","    14308.00","    14346.80","      123527676","         8417.45"
