"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"29-Dec-2020","     2298.20","     2298.21","     2297.62","     2297.99","-","-"
"30-Dec-2020","     2297.99","     2300.61","     2297.98","     2300.07","-","-"
"31-Dec-2020","     2300.45","     2302.60","     2300.45","     2302.29","-","-"
"01-Jan-2021","     2302.66","     2303.54","     2301.68","     2303.08","-","-"
"04-Jan-2021","     2304.16","     2309.93","     2303.76","     2309.40","-","-"
"05-Jan-2021","     2309.78","     2312.28","     2309.63","     2310.90","-","-"
"06-Jan-2021","     2311.27","     2311.27","     2304.20","     2306.52","-","-"
"07-Jan-2021","     2306.90","     2307.71","     2306.03","     2307.01","-","-"
"08-Jan-2021","     2307.38","     2308.41","     2305.88","     2306.32","-","-"
"11-Jan-2021","     2307.40","     2307.40","     2299.59","     2300.33","-","-"
"12-Jan-2021","     2300.70","     2300.95","     2297.50","     2298.20","-","-"
"13-Jan-2021","     2298.58","     2300.72","     2295.07","     2294.71","-","-"
"14-Jan-2021","     2295.09","     2297.34","     2294.57","     2296.51","-","-"
"15-Jan-2021","     2296.89","     2296.89","     2292.26","     2291.75","-","-"
"18-Jan-2021","     2292.85","     2293.98","     2290.15","     2293.05","-","-"
"19-Jan-2021","     2293.42","     2295.65","     2293.28","     2295.40","-","-"
"20-Jan-2021","     2295.78","     2296.91","     2295.09","     2296.26","-","-"
"21-Jan-2021","     2296.64","     2296.90","     2294.16","     2294.74","-","-"
"22-Jan-2021","     2295.12","     2295.18","     2293.85","     2296.20","-","-"
"25-Jan-2021","     2297.30","     2297.77","     2295.12","     2295.65","-","-"
"27-Jan-2021","     2296.39","     2296.64","     2295.60","     2295.99","-","-"
"28-Jan-2021","     2296.36","     2298.55","     2296.36","     2298.10","-","-"
"29-Jan-2021","     2298.48","     2298.57","     2297.14","     2297.29","-","-"
"01-Feb-2021","     2298.02","     2300.20","     2274.98","     2276.76","-","-"
"02-Feb-2021","     2277.13","     2277.13","     2263.90","     2264.86","-","-"
"03-Feb-2021","     2265.24","     2273.28","     2265.22","     2272.17","-","-"
"04-Feb-2021","     2272.55","     2276.92","     2272.14","     2276.17","-","-"
"05-Feb-2021","     2276.54","     2278.92","     2265.67","     2269.44","-","-"
"08-Feb-2021","     2270.56","     2280.02","     2270.56","     2273.38","-","-"
"09-Feb-2021","     2273.76","     2273.76","     2267.85","     2268.85","-","-"
"10-Feb-2021","     2269.22","     2275.41","     2269.22","     2274.01","-","-"
"11-Feb-2021","     2274.38","     2281.27","     2274.15","     2280.55","-","-"
"12-Feb-2021","     2280.92","     2281.08","     2277.33","     2277.78","-","-"
"15-Feb-2021","     2278.89","     2278.89","     2273.72","     2274.16","-","-"
"16-Feb-2021","     2274.53","     2275.29","     2273.27","     2273.72","-","-"
"17-Feb-2021","     2274.10","     2274.10","     2270.79","     2271.92","-","-"
"18-Feb-2021","     2272.30","     2272.30","     2267.83","     2264.56","-","-"
"19-Feb-2021","     2266.06","     2266.06","     2266.06","     2264.94","-","-"
"22-Feb-2021","     2266.06","     2266.79","     2255.64","     2257.00","-","-"
"23-Feb-2021","     2257.37","     2262.14","     2257.22","     2259.92","-","-"
"24-Feb-2021","     2260.29","     2260.29","     2260.29","     2262.24","-","-"
"25-Feb-2021","     2262.61","     2262.75","     2258.30","     2259.79","-","-"
"26-Feb-2021","     2260.17","     2260.17","     2250.29","     2250.88","-","-"
"01-Mar-2021","     2252.76","     2256.14","     2252.76","     2255.20","-","-"
"02-Mar-2021","     2255.57","     2257.44","     2255.08","     2255.56","-","-"
"03-Mar-2021","     2255.93","     2256.77","     2253.75","     2254.01","-","-"
"04-Mar-2021","     2254.38","     2256.75","     2252.79","     2255.73","-","-"
"05-Mar-2021","     2256.10","     2256.91","     2249.61","     2250.51","-","-"
"08-Mar-2021","     2251.65","     2253.54","     2250.22","     2250.77","-","-"
"09-Mar-2021","     2251.14","     2251.77","     2247.29","     2247.99","-","-"
