"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"29-Mar-2019","     2481.25","     2513.90","     2464.10","     2496.60","       35903073","          860.47"
"01-Apr-2019","     2503.95","     2517.65","     2475.00","     2481.00","       40397074","          517.69"
"02-Apr-2019","     2465.25","     2487.10","     2418.00","     2459.45","       51590683","         1144.20"
"03-Apr-2019","     2471.30","     2472.15","     2392.10","     2401.85","       50004723","          779.21"
"04-Apr-2019","     2396.60","     2434.00","     2374.95","     2428.00","       93070449","         1220.35"
"05-Apr-2019","     2442.35","     2451.90","     2427.90","     2440.85","       28767646","          554.33"
"08-Apr-2019","     2447.90","     2463.85","     2408.95","     2415.80","       27187225","          432.19"
"09-Apr-2019","     2422.25","     2426.30","     2393.45","     2410.75","       28070417","          463.72"
"10-Apr-2019","     2408.85","     2434.90","     2394.60","     2404.05","       31764923","          481.10"
"11-Apr-2019","     2412.75","     2424.55","     2388.00","     2408.60","       30436592","          522.29"
"12-Apr-2019","     2408.85","     2447.45","     2406.20","     2442.85","       43302422","          481.09"
"15-Apr-2019","     2448.95","     2457.80","     2429.35","     2433.25","       48040582","          432.20"
"16-Apr-2019","     2438.25","     2454.60","     2430.30","     2433.90","       30870641","          406.83"
"18-Apr-2019","     2442.95","     2443.65","     2374.95","     2380.10","       35700513","          513.46"
"22-Apr-2019","     2378.00","     2382.55","     2352.10","     2358.60","       26457781","          399.75"
"23-Apr-2019","     2369.85","     2408.10","     2356.15","     2361.75","       48552216","          774.18"
"24-Apr-2019","     2371.15","     2392.70","     2359.05","     2390.35","       32302166","          406.28"
"25-Apr-2019","     2402.95","     2410.70","     2370.10","     2379.55","       32489649","          580.75"
"26-Apr-2019","     2391.90","     2400.25","     2366.20","     2375.25","       20331252","          363.12"
"30-Apr-2019","     2379.10","     2416.35","     2345.20","     2408.75","       37686925","          774.23"
"02-May-2019","     2412.35","     2421.70","     2364.55","     2370.15","       26334980","          469.59"
"03-May-2019","     2374.70","     2381.05","     2345.20","     2349.05","       19568115","          370.05"
"06-May-2019","     2331.90","     2343.25","     2290.05","     2297.90","       19351079","          499.46"
"07-May-2019","     2303.75","     2313.70","     2195.60","     2234.95","       63471464","         1030.81"
"08-May-2019","     2230.25","     2235.65","     2112.90","     2133.65","      118090937","         2692.09"
"09-May-2019","     2149.40","     2224.15","     2142.00","     2209.95","       77338531","         1613.53"
"10-May-2019","     2224.50","     2246.25","     2212.95","     2228.00","       46074122","          955.20"
