"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"30-Mar-2011","     4426.10","     4550.25","     4426.10","     4528.80","       13380784","          995.75"
"31-Mar-2011","     4547.55","     4567.75","     4415.70","     4454.00","       22247813","         1897.66"
"01-Apr-2011","     4454.90","     4459.45","     4386.20","     4399.35","       10770098","         1081.34"
"04-Apr-2011","     4407.10","     4477.35","     4407.10","     4465.90","       11226883","          724.84"
"05-Apr-2011","     4481.80","     4521.15","     4437.35","     4513.65","       16543721","          856.18"
"06-Apr-2011","     4515.60","     4537.35","     4474.30","     4503.20","       12296994","          885.71"
"07-Apr-2011","     4500.55","     4550.85","     4478.25","     4530.25","        9636594","          665.46"
"08-Apr-2011","     4527.60","     4547.70","     4435.65","     4456.40","       13526073","          660.19"
"11-Apr-2011","     4458.00","     4473.35","     4430.90","     4457.55","        8566807","          558.61"
"13-Apr-2011","     4443.75","     4517.30","     4428.15","     4509.85","       10815915","          735.77"
"15-Apr-2011","     4508.35","     4557.90","     4479.55","     4504.00","       12126352","          749.00"
"18-Apr-2011","     4503.80","     4556.45","     4438.30","     4443.35","       10773806","          645.79"
"19-Apr-2011","     4445.95","     4459.15","     4401.65","     4425.60","       17916392","          638.98"
"20-Apr-2011","     4445.45","     4498.15","     4417.20","     4491.85","       11184095","          771.35"
"21-Apr-2011","     4512.00","     4545.80","     4505.20","     4528.10","       10565260","          768.87"
"25-Apr-2011","     4536.95","     4618.90","     4536.95","     4603.55","        8753740","          584.26"
"26-Apr-2011","     4606.30","     4632.40","     4559.00","     4612.25","        8568984","          637.19"
"27-Apr-2011","     4617.40","     4639.90","     4577.35","     4597.25","        7974145","          614.91"
"28-Apr-2011","     4611.20","     4614.90","     4489.75","     4499.70","       12716443","          945.88"
"29-Apr-2011","     4499.10","     4505.20","     4360.80","     4385.75","       13035282","          737.94"
"02-May-2011","     4389.75","     4402.50","     4207.55","     4227.05","       22220452","         1112.77"
"03-May-2011","     4215.90","     4280.40","     4057.75","     4064.25","       28838578","         2149.37"
"04-May-2011","     4072.95","     4113.75","     4015.20","     4081.90","       23340313","         1333.14"
