"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"28-Mar-2017","    10484.10","    10525.05","    10455.30","    10497.70","        9443124","          634.88"
"29-Mar-2017","    10522.65","    10522.65","    10401.75","    10419.50","       11085248","          862.28"
"30-Mar-2017","    10444.40","    10469.20","    10389.50","    10407.30","       14036646","         1175.93"
"31-Mar-2017","    10420.80","    10461.55","    10389.95","    10411.15","       10043779","          798.74"
"03-Apr-2017","    10439.60","    10512.70","    10398.65","    10503.65","        7799195","          758.53"
"05-Apr-2017","    10551.70","    10556.90","    10499.50","    10541.15","       10365278","          979.91"
"06-Apr-2017","    10542.00","    10544.30","    10434.90","    10469.70","        7609329","          615.51"
"07-Apr-2017","    10455.80","    10455.80","    10260.65","    10285.80","       15696797","         1144.47"
"10-Apr-2017","    10317.05","    10335.60","    10275.15","    10315.80","       13094711","          987.73"
"11-Apr-2017","    10340.85","    10368.55","    10321.40","    10355.55","        9299500","          701.69"
"12-Apr-2017","    10356.00","    10481.10","    10257.30","    10445.20","        8778463","          708.90"
"13-Apr-2017","    10494.85","    10577.40","    10448.05","    10531.95","        8068719","          716.01"
"17-Apr-2017","    10533.00","    10542.85","    10432.80","    10448.55","        6586678","          626.23"
"18-Apr-2017","    10474.70","    10484.00","    10343.50","    10355.80","        9370089","          700.29"
"19-Apr-2017","    10387.35","    10411.95","    10307.35","    10321.05","        8776614","          665.27"
"20-Apr-2017","    10350.15","    10371.15","    10282.45","    10303.95","        7057711","          534.37"
"21-Apr-2017","    10340.95","    10340.95","    10192.50","    10208.50","       10331166","          755.39"
"24-Apr-2017","    10175.70","    10212.95","    10103.25","    10177.75","       12693426","          970.33"
"25-Apr-2017","    10217.45","    10252.35","    10197.25","    10241.45","        9549523","          823.65"
"26-Apr-2017","    10230.50","    10247.25","    10137.25","    10197.20","        7721738","          644.52"
"27-Apr-2017","    10225.00","    10226.05","    10079.55","    10100.00","       12419890","         1020.49"
"28-Apr-2017","    10119.45","    10162.20","    10075.05","    10120.90","       10205295","          856.50"
"02-May-2017","    10132.05","    10150.60","     9979.65","    10036.35","       11133615","          906.19"
"03-May-2017","    10058.65","    10092.60","     9959.10","     9981.80","       10934399","          843.37"
"04-May-2017","     9996.80","    10060.15","     9942.65","     9979.00","       10052497","          765.72"
"05-May-2017","     9969.85","    10048.80","     9908.70","     9935.15","        9552933","          672.52"
"08-May-2017","     9951.05","    10033.75","     9924.50","    10021.05","        6319588","          515.84"
"09-May-2017","    10037.10","    10040.00","     9940.10","     9997.70","       10506301","          804.18"
"10-May-2017","    10029.00","    10150.15","    10023.70","    10106.20","       12018115","          902.09"
"11-May-2017","    10152.00","    10197.10","    10113.10","    10178.85","        9152697","          691.32"
"12-May-2017","    10133.80","    10148.70","    10014.35","    10121.40","       24389553","         2168.83"
"15-May-2017","    10159.25","    10278.35","    10114.05","    10252.85","       17489906","         1749.04"
"16-May-2017","    10268.15","    10301.25","    10212.55","    10247.15","       10603439","          941.40"
"17-May-2017","    10254.30","    10263.95","    10183.70","    10222.60","       12108943","         1043.98"
"18-May-2017","    10155.65","    10229.95","    10126.45","    10160.30","       12551770","          992.00"
"19-May-2017","    10209.60","    10223.60","    10114.05","    10156.10","       10930412","          865.54"
"22-May-2017","    10202.90","    10203.25","     9936.60","     9959.20","       12250230","          981.29"
"23-May-2017","     9904.50","     9913.65","     9528.95","     9648.30","       24849541","         1708.26"
"24-May-2017","     9633.55","     9649.05","     9385.55","     9446.95","       20831489","         1590.50"
"25-May-2017","     9421.80","     9434.10","     9082.85","     9199.15","       32748511","         2520.85"
"26-May-2017","     9173.60","     9303.30","     9033.75","     9060.45","       30321514","         2018.63"
"29-May-2017","     8913.05","     8913.05","     8634.90","     8757.80","       65775976","         3675.07"
"30-May-2017","     8742.05","     9013.30","     8725.30","     8990.30","       39476192","         2351.16"
"31-May-2017","     9063.65","     9088.65","     8958.40","     9025.25","       36794051","         2398.00"
"01-Jun-2017","     9044.45","     9279.55","     9039.05","     9104.95","       31362450","         1945.25"
"02-Jun-2017","     9182.40","     9292.75","     9169.65","     9254.70","       24316724","         1508.00"
"05-Jun-2017","     9267.50","     9307.40","     9218.85","     9229.75","       12872280","          869.75"
"06-Jun-2017","     9280.00","     9280.20","     9149.90","     9174.60","       13253179","          861.91"
"07-Jun-2017","     9200.00","     9337.30","     9156.85","     9300.55","       22384426","         1367.03"
"08-Jun-2017","     9319.40","     9551.40","     9304.05","     9486.65","       25342123","         1722.81"
"09-Jun-2017","     9520.80","     9531.90","     9406.05","     9507.35","       12969694","          942.95"
"12-Jun-2017","     9510.40","     9614.30","     9494.55","     9583.85","       16236200","         1118.38"
"13-Jun-2017","     9682.00","     9707.50","     9580.75","     9592.15","       18850989","         1237.79"
"14-Jun-2017","     9639.70","     9658.65","     9540.85","     9576.00","       11188249","          916.61"
"15-Jun-2017","     9578.30","     9740.10","     9554.65","     9695.85","       24282845","         1726.07"
"16-Jun-2017","     9734.20","     9764.60","     9506.15","     9525.50","       23741617","         1766.78"
"19-Jun-2017","     9560.35","     9564.95","     9422.65","     9489.20","       13620362","          998.96"
"20-Jun-2017","     9509.00","     9546.55","     9449.60","     9481.90","       12416507","          894.01"
"21-Jun-2017","     9499.25","     9532.15","     9402.50","     9456.80","       12068503","          885.42"
"22-Jun-2017","     9470.25","     9536.75","     9448.25","     9471.60","       15072959","         1116.56"
"23-Jun-2017","     9476.05","     9541.20","     9409.15","     9478.15","       12032103","          886.77"
"27-Jun-2017","     9510.45","     9575.50","     9399.55","     9467.90","       15462023","         1142.75"
"28-Jun-2017","     9458.70","     9498.40","     9402.60","     9482.35","       11668439","          826.02"
"29-Jun-2017","     9502.55","     9513.80","     9408.40","     9428.20","       18110906","         1340.80"
"30-Jun-2017","     9436.85","     9632.20","     9420.75","     9606.40","       13926952","          999.12"
"03-Jul-2017","     9637.60","     9648.15","     9563.45","     9616.30","        7015454","          550.44"
"04-Jul-2017","     9656.20","     9659.20","     9497.60","     9517.95","        7012663","          572.83"
"05-Jul-2017","     9518.95","     9612.15","     9498.95","     9589.15","       13808865","         1133.70"
"06-Jul-2017","     9627.00","     9661.70","     9580.10","     9598.45","       11527540","          903.80"
"07-Jul-2017","     9614.80","     9778.10","     9611.80","     9723.85","       17732268","         1507.38"
"10-Jul-2017","     9782.75","     9919.50","     9705.30","     9884.45","        4077405","          311.01"
"11-Jul-2017","     9911.15","     9948.75","     9782.50","     9801.65","       12498916","          969.18"
"12-Jul-2017","     9825.65","     9859.55","     9775.90","     9817.80","        7806016","          620.39"
"13-Jul-2017","     9827.05","     9910.35","     9820.10","     9875.25","       10332836","          762.48"
"14-Jul-2017","     9897.95","     9994.65","     9875.40","     9958.25","       16566583","         1203.02"
"17-Jul-2017","     9993.85","    10020.35","     9933.00","     9994.75","       12191401","          888.00"
"18-Jul-2017","     9983.05","    10096.80","     9968.95","    10024.30","        9454740","          772.02"
"19-Jul-2017","    10128.50","    10245.45","    10118.60","    10234.60","       19344385","         1526.98"
"20-Jul-2017","    10256.05","    10259.65","    10125.15","    10140.75","        7281445","          569.27"
"21-Jul-2017","    10130.65","    10130.65","     9992.35","    10052.40","        9524622","          766.85"
"24-Jul-2017","    10079.85","    10092.00","     9964.70","     9980.50","        9552375","          824.54"
"25-Jul-2017","     9987.10","    10003.00","     9907.80","     9930.55","       10771319","          856.64"
"26-Jul-2017","     9963.65","    10044.35","     9920.00","    10036.80","        7996388","          620.45"
"27-Jul-2017","    10051.60","    10059.70","     9845.95","     9880.25","       17771812","         1620.04"
"28-Jul-2017","     9821.25","     9821.25","     9641.15","     9672.60","       17150320","         1540.55"
"31-Jul-2017","     9707.95","     9707.95","     9456.70","     9476.40","       17258093","         1585.69"
"01-Aug-2017","     9488.90","     9602.25","     9482.35","     9517.30","       14167412","         1300.96"
"02-Aug-2017","     9555.10","     9557.45","     9434.30","     9453.95","       15022425","         1380.12"
"03-Aug-2017","     9481.70","     9566.45","     9308.40","     9336.90","       20164169","         1746.75"
"04-Aug-2017","     9285.80","     9287.90","     9104.20","     9256.85","       18648519","         1483.30"
"07-Aug-2017","     9280.55","     9323.05","     9210.45","     9229.05","        8101854","          686.43"
"08-Aug-2017","     9240.05","     9264.70","     9109.35","     9125.85","       10151298","          878.24"
"09-Aug-2017","     9070.15","     9076.20","     8714.90","     8766.25","       25645803","         1680.84"
"10-Aug-2017","     8757.30","     8917.55","     8390.60","     8513.20","       28282854","         1982.25"
"11-Aug-2017","     8445.25","     8604.80","     8314.50","     8521.35","       28479070","         1912.77"
"14-Aug-2017","     8494.05","     8786.35","     8483.65","     8758.10","       31831102","         1815.46"
"16-Aug-2017","     8807.95","     8870.05","     8679.20","     8859.40","       16687469","         1132.21"
"17-Aug-2017","     8881.55","     8909.70","     8779.50","     8797.10","       11664999","          816.05"
"18-Aug-2017","     8758.95","     8758.95","     8576.85","     8639.40","       11988307","          800.22"
"21-Aug-2017","     8691.80","     8696.85","     8468.70","     8490.20","       10728505","          707.44"
"22-Aug-2017","     8555.15","     8630.50","     8494.55","     8566.65","       12167832","          917.51"
"23-Aug-2017","     8619.15","     8641.70","     8580.85","     8615.85","       10757062","          800.29"
"24-Aug-2017","     8637.10","     8921.40","     8615.80","     8902.05","       23177987","         1620.06"
"28-Aug-2017","     8949.30","     9031.35","     8896.80","     8975.05","       17136665","         1213.71"
"29-Aug-2017","     8948.30","     8956.00","     8845.65","     8865.05","        9272725","          688.18"
"30-Aug-2017","     8937.95","     8987.15","     8894.60","     8908.05","        9043167","          650.28"
"31-Aug-2017","     8928.20","     8939.50","     8841.15","     8859.65","       13219581","          990.43"
"01-Sep-2017","     8936.85","     9088.90","     8925.40","     9071.70","       16245064","         1649.03"
"04-Sep-2017","     9093.95","     9120.35","     8929.40","     9070.35","       13845003","         1044.69"
"05-Sep-2017","     9126.75","     9127.65","     9003.95","     9037.60","       10830912","          769.00"
"06-Sep-2017","     8978.55","     8980.00","     8883.75","     8897.30","       14523775","          977.47"
"07-Sep-2017","     8937.75","     8985.25","     8873.00","     8948.80","       13852525","          955.53"
"08-Sep-2017","     8956.20","     8998.55","     8793.25","     8840.30","       12225668","         1036.80"
"11-Sep-2017","     8888.25","     8917.65","     8787.65","     8804.45","       11496484","          756.98"
"12-Sep-2017","     8856.80","     9009.55","     8795.85","     8996.10","       23874470","         1714.63"
"13-Sep-2017","     9008.10","     9211.75","     8967.25","     9140.60","       36033152","         2655.79"
"14-Sep-2017","     9257.65","     9396.40","     9246.80","     9380.85","       28726094","         2209.58"
"15-Sep-2017","     9321.80","     9378.50","     9237.85","     9338.00","       23953287","         1893.52"
"18-Sep-2017","     9378.95","     9403.55","     9217.55","     9339.55","       17700712","         1440.61"
"19-Sep-2017","     9357.40","     9417.30","     9269.60","     9293.95","       21498162","         1745.80"
"20-Sep-2017","     9327.40","     9372.15","     9231.80","     9319.85","       31410281","         2797.60"
"21-Sep-2017","     9364.95","     9663.10","     9363.30","     9629.75","       46697565","         4341.44"
"22-Sep-2017","     9629.15","     9709.20","     9428.80","     9465.45","       31604670","         2653.53"
"25-Sep-2017","     9468.00","     9474.15","     9239.40","     9297.05","       21014574","         1681.77"
"26-Sep-2017","     9294.30","     9377.20","     9234.95","     9297.90","       15754061","         1418.19"
"27-Sep-2017","     9254.75","     9257.90","     8997.25","     9036.45","       28247923","         2297.91"
"28-Sep-2017","     9037.65","     9182.40","     8977.25","     9111.55","       36153273","         3133.36"
"29-Sep-2017","     9131.10","     9245.30","     9112.00","     9172.60","       18972122","         1560.41"
"03-Oct-2017","     9308.95","     9314.90","     9196.15","     9214.95","       11101907","          985.15"
"04-Oct-2017","     9245.20","     9407.15","     9208.15","     9372.30","       17045673","         1344.60"
"05-Oct-2017","     9404.90","     9508.65","     9377.35","     9394.15","       16483467","         1248.94"
"06-Oct-2017","     9444.20","     9497.60","     9402.50","     9477.75","       13755529","         1015.41"
"09-Oct-2017","     9497.15","     9568.55","     9463.80","     9505.70","       13269293","         1032.70"
"10-Oct-2017","     9556.75","     9608.90","     9506.75","     9530.30","       10086624","          849.95"
"11-Oct-2017","     9563.35","     9586.85","     9385.15","     9441.15","       12003774","          948.09"
"12-Oct-2017","     9561.50","     9592.60","     9483.50","     9577.10","       16410014","         1129.63"
"13-Oct-2017","     9593.80","     9613.80","     9526.35","     9545.60","        9108421","          691.82"
"16-Oct-2017","     9588.10","     9705.35","     9579.45","     9692.55","       12638664","          927.00"
"17-Oct-2017","     9683.35","     9752.60","     9638.85","     9740.55","-","-"
"18-Oct-2017","     9760.80","     9760.80","     9611.60","     9622.60","        8818977","          726.92"
"19-Oct-2017","     9646.40","     9655.65","     9561.10","     9593.50","-","-"
"23-Oct-2017","     9637.90","     9654.85","     9495.75","     9542.20","        8711431","          658.80"
"24-Oct-2017","     9554.55","     9561.85","     9479.55","     9490.00","        6929971","          508.34"
"25-Oct-2017","     9527.70","     9539.85","     9332.65","     9346.75","        7757588","          632.32"
"26-Oct-2017","     9385.35","     9474.85","     9302.20","     9428.35","       12466437","          976.16"
"27-Oct-2017","     9497.20","     9722.85","     9488.05","     9650.10","       18349378","         1289.62"
"30-Oct-2017","     9686.05","     9852.60","     9599.10","     9754.85","       19097798","         1698.26"
"31-Oct-2017","     9753.75","     9829.20","     9697.95","     9756.00","       14010680","         1367.35"
"01-Nov-2017","     9750.05","     9827.40","     9694.20","     9711.55","       13851406","         1214.91"
"02-Nov-2017","     9782.60","    10060.35","     9782.60","    10004.50","       35808307","         3064.03"
"03-Nov-2017","    10052.25","    10062.50","     9845.35","     9897.20","       16412566","         1345.57"
"06-Nov-2017","     9886.70","     9962.10","     9854.20","     9894.10","       12907293","         1093.26"
"07-Nov-2017","     9953.50","     9986.60","     9364.25","     9469.75","       49481021","         3881.75"
"08-Nov-2017","     9553.05","     9659.25","     9483.40","     9494.95","       27444627","         2126.05"
"09-Nov-2017","     9616.65","     9623.20","     9289.05","     9435.85","       19437156","         1417.80"
"10-Nov-2017","     9460.40","     9484.10","     9262.50","     9311.50","       21351249","         1630.77"
"13-Nov-2017","     9334.65","     9345.45","     9168.70","     9238.85","       18025677","         1228.62"
"14-Nov-2017","     9240.90","     9284.00","     9174.30","     9208.45","       20513280","         1347.38"
"15-Nov-2017","     9170.65","     9193.80","     8990.15","     9025.20","       17782230","         1149.04"
"16-Nov-2017","     9045.25","     9102.85","     9003.60","     9082.65","       12715341","          863.62"
"17-Nov-2017","     9159.50","     9221.30","     9137.45","     9161.80","       11395879","          834.19"
"20-Nov-2017","     9184.20","     9200.40","     9119.90","     9143.35","       10960589","          824.53"
"21-Nov-2017","     9173.70","     9419.35","     9155.20","     9346.55","       19878038","         1709.45"
"22-Nov-2017","     9353.55","     9365.50","     9255.90","     9278.00","       12741089","          936.29"
"23-Nov-2017","     9290.65","     9321.60","     9244.75","     9293.20","       11672134","          883.55"
"24-Nov-2017","     9320.25","     9371.05","     9292.95","     9364.30","       11046009","          807.17"
"27-Nov-2017","     9324.95","     9392.85","     9294.35","     9368.70","        9800334","          677.39"
"28-Nov-2017","     9368.45","     9396.65","     9285.40","     9318.50","       10915916","          815.88"
"29-Nov-2017","     9336.85","     9401.45","     9327.80","     9351.85","        9126934","          765.48"
"30-Nov-2017","     9328.30","     9364.50","     9219.40","     9238.75","       20390826","         1686.09"
"01-Dec-2017","     9280.55","     9301.20","     9055.95","     9083.85","       11714463","          919.73"
"04-Dec-2017","     9137.25","     9152.90","     9010.70","     9052.00","        9895655","          686.62"
"05-Dec-2017","     9040.20","     9074.65","     8981.95","     9043.15","        9562026","          656.03"
"06-Dec-2017","     9047.85","     9063.25","     8923.55","     8938.20","        9626888","          652.72"
"07-Dec-2017","     8944.95","     9016.15","     8923.55","     8960.40","       11107963","          746.43"
"08-Dec-2017","     8986.60","     9121.65","     8977.85","     9098.45","       11022834","          869.04"
"11-Dec-2017","     9162.40","     9206.10","     9129.95","     9186.10","       10433948","          791.71"
"12-Dec-2017","     9271.65","     9273.15","     9099.20","     9119.10","       12478910","         1148.81"
"13-Dec-2017","     9135.80","     9160.40","     8982.15","     9002.80","       10989451","          844.15"
"14-Dec-2017","     9032.60","     9087.95","     8975.45","     9070.85","       10661906","          879.38"
"15-Dec-2017","     9152.40","     9162.25","     9081.10","     9100.30","       15011960","         1126.80"
"18-Dec-2017","     9102.20","     9286.40","     8921.30","     9230.45","       11878398","          866.12"
"19-Dec-2017","     9284.90","     9313.65","     9233.45","     9299.65","       10342367","          764.53"
"20-Dec-2017","     9314.65","     9365.80","     9260.35","     9285.45","       10685674","          768.75"
"21-Dec-2017","     9335.25","     9418.15","     9303.10","     9321.60","       14243379","          923.34"
"22-Dec-2017","     9346.95","     9361.00","     9309.20","     9326.60","        9578305","          723.28"
"26-Dec-2017","     9336.65","     9436.10","     9307.45","     9416.00","       10632983","          746.28"
"27-Dec-2017","     9447.75","     9699.65","     9438.50","     9639.85","       38496851","         2593.56"
"28-Dec-2017","     9683.10","     9732.90","     9559.65","     9584.20","       22513511","         1636.39"
"29-Dec-2017","     9635.15","     9675.10","     9590.75","     9620.10","       13063911","          947.57"
"01-Jan-2018","     9627.40","     9740.60","     9588.95","     9618.15","       10894193","          752.74"
"02-Jan-2018","     9662.20","     9708.45","     9531.00","     9565.80","        9652641","          706.89"
"03-Jan-2018","     9585.65","     9605.15","     9505.55","     9519.55","       11198773","          993.53"
"04-Jan-2018","     9535.90","     9649.05","     9476.45","     9633.60","       13215036","          993.21"
