"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Apr-2018","      296.45","      297.80","      293.20","      296.40","-","-"
"03-Apr-2018","      295.85","      298.60","      295.00","      297.90","-","-"
"04-Apr-2018","      300.00","      305.45","      293.05","      294.00","      139170965","          624.27"
"05-Apr-2018","      299.35","      302.70","      298.15","      301.70","       56733988","          365.83"
"06-Apr-2018","      304.85","      305.30","      302.25","      303.40","       52547301","          533.50"
"09-Apr-2018","      304.25","      305.90","      302.70","      303.30","-","-"
"10-Apr-2018","      305.55","      307.35","      302.55","      306.60","       44977955","          416.54"
"11-Apr-2018","      307.40","      308.15","      304.50","      305.40","       34204813","          356.24"
"12-Apr-2018","      305.20","      305.20","      298.80","      299.55","       35072260","          367.01"
"13-Apr-2018","      300.60","      303.20","      298.75","      300.90","       26818014","          279.42"
"16-Apr-2018","      298.45","      306.90","      297.95","      305.80","       42619962","          590.21"
"17-Apr-2018","      307.65","      310.15","      305.10","      309.45","       37673937","          589.21"
"18-Apr-2018","      312.55","      313.70","      309.65","      311.20","-","-"
"19-Apr-2018","      314.10","      314.70","      312.05","      313.20","       29058821","          314.85"
"20-Apr-2018","      312.30","      312.85","      309.05","      310.20","       23317178","          254.96"
"23-Apr-2018","      311.45","      317.55","      310.45","      315.20","       26529066","          419.99"
"24-Apr-2018","      317.35","      319.35","      314.50","      316.45","       28533715","          386.83"
"25-Apr-2018","      316.15","      325.65","      313.55","      318.35","       66152229","          851.47"
"26-Apr-2018","      321.65","      324.30","      315.25","      316.15","       82189948","         1120.20"
"27-Apr-2018","      317.05","      322.00","      315.85","      317.25","       28443620","          346.51"
"30-Apr-2018","      319.90","      323.60","      317.75","      322.25","       39532668","          544.06"
"02-May-2018","      322.10","      323.85","      313.40","      315.80","       40383465","          478.68"
"03-May-2018","      314.90","      315.20","      308.05","      310.55","       32823730","          282.93"
"04-May-2018","      311.00","      313.65","      308.95","      310.10","       26169314","          413.88"
"07-May-2018","      311.25","      315.35","      311.20","      313.55","       21380721","          263.94"
"08-May-2018","      314.65","      317.95","      313.45","      317.25","       34297262","          416.19"
"09-May-2018","      317.05","      318.75","      315.20","      316.95","       19660041","          277.08"
"10-May-2018","      317.70","      318.25","      309.85","      310.70","       30040027","          279.04"
"11-May-2018","      312.45","      312.70","      307.60","      309.15","       22886733","          238.09"
"14-May-2018","      310.10","      312.65","      305.50","      307.00","       35289797","          367.86"
"15-May-2018","      305.10","      312.45","      299.60","      300.85","       43871719","          373.14"
"16-May-2018","      300.85","      308.15","      300.80","      307.05","       52978314","          725.57"
"17-May-2018","      308.50","      308.95","      305.20","      307.35","       64932084","          426.00"
"18-May-2018","      307.55","      308.10","      300.35","      302.75","       44427981","          387.04"
"21-May-2018","      302.45","      302.80","      291.25","      292.80","       33161377","          344.18"
"22-May-2018","      293.20","      297.70","      289.10","      296.40","       42895423","          639.53"
"23-May-2018","      295.55","      298.05","      292.40","      293.85","       27832525","          339.62"
"24-May-2018","      294.70","      294.95","      290.10","      291.80","       22821458","          269.97"
"25-May-2018","      292.00","      297.45","      291.65","      295.50","       22680330","          264.82"
"28-May-2018","      296.90","      301.25","      296.90","      300.05","       19705059","          243.87"
"29-May-2018","      300.30","      301.10","      296.25","      297.10","       24304581","          232.08"
"30-May-2018","      294.90","      297.80","      293.60","      297.05","       16283043","          202.24"
"31-May-2018","      297.80","      298.65","      293.95","      294.95","       35456920","          425.24"
"01-Jun-2018","      294.55","      295.90","      290.30","      291.25","       19800911","          210.42"
"04-Jun-2018","      292.20","      292.65","      281.10","      281.55","       30225043","          246.15"
"05-Jun-2018","      281.60","      281.60","      274.75","      278.60","       51548570","          528.01"
"06-Jun-2018","      276.75","      283.45","      276.65","      282.80","       39113195","          347.24"
"07-Jun-2018","      283.60","      291.75","      283.45","      291.20","       58174018","          294.37"
"08-Jun-2018","      289.30","      293.00","      287.60","      292.25","       70484975","          257.68"
"11-Jun-2018","      293.90","      294.85","      289.55","      290.45","       37275972","          236.11"
"12-Jun-2018","      290.80","      292.15","      288.95","      291.65","       32409978","          229.76"
"13-Jun-2018","      291.70","      293.20","      290.20","      291.50","       34070902","          313.25"
"14-Jun-2018","      290.85","      291.65","      289.55","      291.50","       29989855","          286.23"
"15-Jun-2018","      292.15","      293.45","      286.85","      287.80","       40109989","          285.26"
"18-Jun-2018","      288.05","      288.25","      284.80","      286.70","       21553047","          193.64"
"19-Jun-2018","      286.20","      286.20","      280.40","      280.95","       22309773","          224.38"
"20-Jun-2018","      283.05","      285.00","      282.45","      284.05","       16649854","          174.20"
"21-Jun-2018","      284.75","      285.35","      280.45","      281.80","       18195991","          167.88"
"22-Jun-2018","      281.90","      282.75","      279.00","      282.25","       16298420","          159.90"
"25-Jun-2018","      282.20","      284.45","      276.85","      278.05","       16333125","          183.28"
"26-Jun-2018","      277.55","      279.50","      274.85","      276.05","       20684678","          204.69"
"27-Jun-2018","      276.20","      277.50","      269.25","      271.10","       27767019","          247.53"
"28-Jun-2018","      269.80","      269.80","      263.15","      265.10","       28259521","          256.17"
"29-Jun-2018","      267.60","      272.70","      267.50","      271.55","       23157841","          236.99"
"02-Jul-2018","      272.05","      272.65","      265.65","      267.85","       20073262","          205.33"
"03-Jul-2018","      266.95","      270.00","      265.35","      268.25","       17572443","          178.87"
"04-Jul-2018","      267.95","      270.20","      266.20","      269.50","       15223855","          175.81"
"05-Jul-2018","      268.65","      269.45","      263.50","      264.65","       16003299","          179.51"
"06-Jul-2018","      265.45","      270.25","      265.00","      267.30","       19007756","          276.63"
"09-Jul-2018","      268.50","      270.85","      267.90","      269.35","       15274454","          152.01"
"10-Jul-2018","      270.90","      275.35","      270.70","      274.20","       24761071","          232.52"
"11-Jul-2018","      273.60","      276.80","      273.05","      274.45","       22036185","          263.67"
"12-Jul-2018","      275.65","      276.50","      270.70","      271.45","       15082996","          150.03"
"13-Jul-2018","      271.85","      272.35","      266.15","      266.85","       14643736","          140.81"
"16-Jul-2018","      267.70","      268.25","      257.10","      258.00","       19679399","          156.89"
"17-Jul-2018","      257.05","      261.40","      255.90","      260.65","       24046233","          187.31"
"18-Jul-2018","      262.40","      262.80","      253.45","      254.40","       21348834","          190.68"
"19-Jul-2018","      255.55","      256.60","      251.35","      253.90","       19870697","          216.09"
"20-Jul-2018","      254.80","      257.70","      252.70","      257.10","       16038252","          166.86"
"23-Jul-2018","      257.00","      262.15","      256.85","      261.50","       19236864","          238.15"
"24-Jul-2018","      262.45","      268.90","      261.90","      268.05","       33049373","          284.81"
"25-Jul-2018","      268.75","      268.95","      263.70","      264.30","       21488796","          187.17"
"26-Jul-2018","      265.00","      267.40","      264.05","      266.40","       16338739","          208.26"
"27-Jul-2018","      267.30","      269.60","      266.45","      267.85","       18452011","          179.66"
